,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar
verifythis_fm2012_LRS:LCP:longest_common_prefix_succ,Valid,0.15686946678,Valid,0.15130055533333334,Unknown,0.7901630723333333,Timeout,10.1491091742,Unknown,0.13890218848,Valid,0.2267720769016393,Valid,0.23620478939130435,1.0,0.0,2.857143,0.0,7.0,7.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,1.0,4.0,longest_common_prefix_succ,0.0,0.0,1.0,1.0,0.0,13.0,7.0,0.0,1.0,1.0,0.0,21.0,LCP,0.0,12.0,Valid,0.13551238241176472,0.0,0.0
verifythis_fm2012_LRS:LCP:not_common_prefix_if_last_char_are_different,Valid,0.1507530754719101,Valid,0.15191381642,Unknown,0.1658154223018868,Timeout,11.144046128200001,Timeout,10.124542828400001,Valid,0.15993517377142855,Valid,0.1658005386904762,3.0,0.0,1.95,0.0,10.0,20.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,1.0,14.0,not_common_prefix_if_last_char_are_different,0.0,0.0,1.0,2.0,0.0,19.0,20.0,0.0,1.0,2.0,0.0,40.0,LCP,0.0,17.0,Valid,0.13139799295238094,0.0,0.0
verifythis_fm2012_LRS:LCP_test:WP_parameter bench,Valid,0.15316117834375,Valid,0.14823580382142856,Valid,0.14040264246666664,Valid,0.1616752631851852,Valid,0.1366005742121212,Valid,0.15934156876271185,Valid,0.16707652729113925,19.0,0.0,2.178571,0.0,19.0,56.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,6.0,31.0,WP_parameter bench,0.0,0.0,6.0,37.0,0.0,61.0,56.0,0.0,6.0,0.0,0.0,123.0,LCP_test,0.0,24.0,Valid,0.13087775167,0.0,0.0
verifythis_fm2012_LRS:LRS:WP_parameter lrs,Timeout,11.1676793506,Unknown,0.2767852036190476,Timeout,10.1540418886,Timeout,10.247066522999999,Timeout,10.1523452926,Timeout,10.1592141978,Timeout,10.159648220200001,124.0,0.0,2.150289,0.0,44.0,346.0,0.0,2.0,0.0,verifythis_fm2012_LRS.mlw,0.0,22.0,183.0,WP_parameter lrs,1.0,0.0,25.0,58.0,3.0,374.0,347.0,1.0,24.0,11.0,0.0,745.0,LRS,0.0,316.0,Timeout,10.1500480238,0.0,0.0
verifythis_fm2012_LRS:LRS:lcp_sym,Valid,0.18297934353846154,Valid,0.18008999625000002,Unknown,0.4422352219354839,Valid,0.21995326192045458,Timeout,10.1399419146,Timeout,10.1445487352,Timeout,10.163678238,3.0,0.0,2.230769,0.0,7.0,13.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,1.0,8.0,lcp_sym,0.0,0.0,2.0,2.0,0.0,16.0,13.0,0.0,1.0,0.0,0.0,30.0,LRS,0.0,14.0,Valid,0.172974661,0.0,0.0
verifythis_fm2012_LRS:LRS:le_le_common_prefix,Valid,0.28626738063636364,Valid,0.2175144513947369,Timeout,10.128969519399998,Timeout,11.171305200399999,Timeout,10.126831031,Timeout,10.1442779984,Timeout,10.1606114862,1.0,0.0,3.0,0.0,5.0,7.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,1.0,4.0,le_le_common_prefix,0.0,0.0,2.0,0.0,0.0,14.0,7.0,0.0,1.0,0.0,0.0,22.0,LRS,0.0,14.0,Valid,0.4281053111896552,0.0,0.0
verifythis_fm2012_LRS:LRS:le_le_longest_common_prefix,Valid,0.5288376089642857,Valid,0.251458955276923,Valid,0.20749131065384616,Valid,0.22196843964285715,Valid,0.1722834983783784,Timeout,10.142221699999999,Timeout,10.1442291776,2.0,0.0,2.777778,0.0,6.0,9.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,1.0,5.0,le_le_longest_common_prefix,0.0,0.0,2.0,0.0,0.0,16.0,9.0,0.0,1.0,0.0,0.0,26.0,LRS,0.0,16.0,Valid,9.1156755198,0.0,0.0
verifythis_fm2012_LRS:LRS_test:WP_parameter bench,Valid,0.17435539733333333,Valid,0.17410521242000002,Valid,0.1778616022755102,Valid,0.20206680083333334,Valid,0.1697162916851852,Valid,0.19192156300000002,Valid,0.20256613125,16.0,0.0,2.2,0.0,19.0,50.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,6.0,28.0,WP_parameter bench,0.0,0.0,6.0,32.0,0.0,55.0,50.0,0.0,6.0,0.0,0.0,111.0,LRS_test,0.0,23.0,Valid,0.1587407378831169,0.0,0.0
verifythis_fm2012_LRS:SuffixArray:WP_parameter create,Valid,0.44167744315,Valid,0.20497905312,Valid,0.4245681593877551,Valid,0.34911004284374997,Valid,0.19561464653571428,Valid,0.2123240180857143,Valid,0.21975886275,29.0,0.0,2.2,0.0,24.0,105.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,12.0,59.0,WP_parameter create,0.0,0.0,15.0,26.0,2.0,115.0,105.0,0.0,12.0,0.0,0.0,232.0,SuffixArray,0.0,89.0,Timeout,10.126519886399999,0.0,0.0
verifythis_fm2012_LRS:SuffixArray:WP_parameter lcp,Valid,0.20611681021428568,Valid,0.18855749118181817,Timeout,10.1474690872,Valid,0.2234235849846154,Timeout,10.140784834600002,Timeout,10.172699082000001,Timeout,10.1479886408,14.0,0.0,2.177778,0.0,14.0,45.0,0.0,0.0,0.0,verifythis_fm2012_LRS.mlw,0.0,2.0,26.0,WP_parameter lcp,0.0,0.0,2.0,10.0,3.0,52.0,45.0,0.0,2.0,0.0,0.0,99.0,SuffixArray,0.0,42.0,Valid,0.26477179027083336,0.0,0.0
